Region and country of birth;Continent;Year;Total;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Guam;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Puerto Rico;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
Thailand;Asia;2019; 6.678 ; 30 ; 33 ; 100 ; 27 ; 1.246 ; 129 ; 50 ; 5 ; 9 ; 333 ; 172 ; -   ; 65 ; 19 ; 185 ; 134 ; 155 ; 43 ; 104 ; 28 ; 14 ; 84 ; 154 ; 89 ; 486 ; 13 ; 60 ; 9 ; 125 ; 139 ; 20 ; 65 ; 10 ; 426 ; 190 ; 5 ; 79 ; 38 ; 108 ; 105 ; -   ; 22 ; 39 ; 38 ; 68 ; 502 ; 66 ; 10 ; 189 ; 204 ; 4 ; 259 ; -   
Trinidad and Tobago;North America;2019; 4.592 ; 5 ; -   ; 19 ; 5 ; 96 ; 10 ; 62 ; 18 ; 20 ; 775 ; 232 ; -   ; -   ; -   ; 22 ; 15 ; -   ; 3 ; 7 ; 14 ; -   ; 214 ; 114 ; 18 ; 9 ; 10 ; 6 ; -   ; -   ; 11 ; -   ; 268 ; 3 ; 1.874 ; 63 ; 6 ; 21 ; 8 ; 9 ; 170 ; -   ; 6 ; 16 ; -   ; 21 ; 240 ; 3 ; -   ; 70 ; 12 ; 3 ; 9 ; -   
Uganda;Africa;2019; 922 ; 5 ; -   ; 11 ; 3 ; 88 ; 34 ; 10 ; -   ; 5 ; 29 ; 29 ; -   ; -   ; -   ; 27 ; 12 ; 9 ; 6 ; 8 ; 3 ; 5 ; 68 ; 166 ; 15 ; 29 ; -   ; 9 ; -   ; 6 ; -   ; 3 ; 22 ; -   ; 28 ; 15 ; -   ; 25 ; 6 ; 8 ; 28 ; -   ; -   ; 5 ; -   ; 3 ; 80 ; 5 ; -   ; 19 ; 42 ; -   ; 15 ; -   
Ukraine;Europe;2019; 8.019 ; 21 ; 34 ; 43 ; 14 ; 1.046 ; 95 ; 109 ; 7 ; 15 ; 471 ; 144 ; -   ; 16 ; 27 ; 761 ; 47 ; 32 ; 21 ; 34 ; 14 ; 8 ; 116 ; 186 ; 196 ; 102 ; 5 ; 90 ; 12 ; 33 ; 30 ; 11 ; 321 ; 11 ; 1.135 ; 140 ; -   ; 187 ; 22 ; 241 ; 458 ; -   ; 4 ; 120 ; 16 ; 60 ; 215 ; 31 ; -   ; 159 ; 928 ; 5 ; 61 ; 3 
United Arab Emirates;Asia;2019; 730 ; 6 ; -   ; 7 ; -   ; 103 ; 5 ; 9 ; -   ; -   ; 31 ; 19 ; -   ; -   ; -   ; 44 ; 9 ; 5 ; 10 ; 4 ; -   ; -   ; 11 ; 9 ; 41 ; 26 ; -   ; 8 ; -   ; -   ; 4 ; -   ; 32 ; -   ; 49 ; 15 ; -   ; 25 ; 6 ; 9 ; 24 ; -   ; -   ; -   ; -   ; -   ; 139 ; -   ; -   ; 29 ; 17 ; -   ; 11 ; -   
United Kingdom;Europe;2019; 12.195 ; 55 ; 14 ; 225 ; 37 ; 1.910 ; 365 ; 222 ; 17 ; 49 ; 1.278 ; 503 ; -   ; 32 ; 23 ; 371 ; 134 ; 45 ; 42 ; 65 ; 52 ; 51 ; 201 ; 413 ; 286 ; 122 ; 20 ; 86 ; 18 ; 25 ; 117 ; 68 ; 424 ; 45 ; 995 ; 387 ; -   ; 185 ; 45 ; 146 ; 410 ; -   ; 38 ; 138 ; 5 ; 128 ; 1.263 ; 90 ; 33 ; 359 ; 314 ; 16 ; 109 ; 9 
United States;North America;2019; 174 ; -   ; -   ; 3 ; -   ; 36 ; -   ; -   ; -   ; 3 ; 13 ; 6 ; -   ; 3 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; 3 ; -   ; 12 ; -   ; 18 ; 4 ; -   ; -   ; -   ; 4 ; 3 ; -   ; -   ; -   ; -   ; -   ; 19 ; 5 ; -   ; 13 ; -   ; -   ; -   ; -   
Uruguay;South America;2019; 1.088 ; -   ; -   ; 9 ; -   ; 50 ; 3 ; 21 ; -   ; 7 ; 350 ; 76 ; -   ; -   ; -   ; 7 ; 5 ; -   ; 3 ; -   ; 5 ; -   ; 7 ; 36 ; 5 ; 3 ; -   ; 3 ; -   ; -   ; 7 ; 4 ; 142 ; 3 ; 96 ; 36 ; -   ; 4 ; -   ; -   ; 30 ; 5 ; -   ; 11 ; -   ; 3 ; 59 ; 24 ; -   ; 25 ; 8 ; -   ; 5 ; -   
Uzbekistan;Asia;2019; 1.950 ; 5 ; -   ; 32 ; -   ; 191 ; 35 ; 16 ; -   ; 6 ; 109 ; 52 ; -   ; -   ; 7 ; 75 ; 7 ; -   ; 6 ; 26 ; 4 ; -   ; 30 ; 34 ; 12 ; 11 ; -   ; 30 ; -   ; 3 ; 6 ; 3 ; 51 ; -   ; 593 ; 37 ; -   ; 79 ; -   ; 31 ; 151 ; -   ; 4 ; 24 ; -   ; 24 ; 62 ; 5 ; -   ; 67 ; 62 ; -   ; 6 ; -   
Venezuela;South America;2019; 9.317 ; 29 ; -   ; 43 ; 9 ; 304 ; 79 ; 54 ; 12 ; 22 ; 4.720 ; 303 ; -   ; 4 ; 4 ; 112 ; 65 ; 10 ; 19 ; 27 ; 36 ; -   ; 97 ; 102 ; 58 ; 42 ; 9 ; 26 ; 4 ; 12 ; 29 ; 3 ; 165 ; 10 ; 388 ; 172 ; -   ; 75 ; 49 ; 14 ; 133 ; 72 ; 13 ; 45 ; -   ; 76 ; 1.445 ; 76 ; -   ; 127 ; 50 ; 5 ; 26 ; -   
Vietnam;Asia;2019; 25.646 ; 189 ; 13 ; 451 ; 124 ; 7.014 ; 411 ; 90 ; 33 ; 11 ; 1.273 ; 1.081 ; 6 ; 111 ; 20 ; 432 ; 138 ; 223 ; 241 ; 68 ; 420 ; 36 ; 400 ; 695 ; 300 ; 523 ; 106 ; 271 ; 10 ; 154 ; 182 ; 36 ; 251 ; 73 ; 398 ; 708 ; 23 ; 232 ; 276 ; 431 ; 780 ; -   ; 12 ; 202 ; 12 ; 261 ; 4.522 ; 160 ; 13 ; 747 ; 974 ; 20 ; 80 ; 12 
Yemen;Asia;2019; 2.509 ; 40 ; -   ; 4 ; 9 ; 308 ; 5 ; 26 ; 12 ; -   ; 12 ; 12 ; -   ; -   ; -   ; 87 ; 35 ; -   ; -   ; -   ; 22 ; -   ; 10 ; -   ; 702 ; 20 ; 35 ; 5 ; -   ; -   ; -   ; -   ; 17 ; -   ; 741 ; 138 ; -   ; 19 ; -   ; 7 ; 18 ; -   ; -   ; 8 ; -   ; 36 ; 33 ; -   ; -   ; 40 ; 15 ; -   ; 4 ; -   
Zambia;Africa;2019; 501 ; 3 ; -   ; 12 ; 3 ; 34 ; 11 ; 4 ; -   ; -   ; 18 ; 55 ; -   ; -   ; -   ; 32 ; 18 ; 6 ; -   ; -   ; -   ; -   ; 27 ; 9 ; 9 ; 8 ; -   ; 8 ; -   ; -   ; 9 ; -   ; 8 ; -   ; 33 ; 13 ; -   ; 13 ; 10 ; 3 ; 24 ; -   ; -   ; -   ; -   ; 8 ; 74 ; 3 ; -   ; 10 ; 10 ; -   ; -   ; -   
Zimbabwe;Africa;2019; 810 ; 3 ; -   ; 16 ; 3 ; 52 ; 21 ; 3 ; 3 ; 3 ; 38 ; 47 ; -   ; 3 ; -   ; 17 ; 30 ; 5 ; 3 ; 9 ; 5 ; -   ; 32 ; 16 ; 13 ; 11 ; 3 ; 11 ; -   ; 5 ; 6 ; 5 ; 25 ; -   ; 27 ; 36 ; 3 ; 21 ; 4 ; 12 ; 33 ; -   ; -   ; 4 ; -   ; 8 ; 185 ; 5 ; -   ; 32 ; 18 ; -   ; 8 ; 3 
Afghanistan;Asia;2018; 1.569 ; -   ; -   ; 30 ; -   ; 570 ; 18 ; 7 ; 7 ; -   ; 34 ; 37 ; -   ; -   ; 25 ; 27 ; 9 ; -   ; 5 ; 15 ; -   ; 5 ; 16 ; 10 ; 7 ; 6 ; -   ; 26 ; -   ; 6 ; 21 ; -   ; 47 ; 4 ; 191 ; 14 ; -   ; 27 ; -   ; 20 ; 18 ; -   ; -   ; -   ; -   ; 6 ; 56 ; 8 ; -   ; 240 ; 27 ; -   ; -   ; -   
Albania;Europe;2018; 2.203 ; -   ; -   ; 10 ; -   ; 55 ; 4 ; 125 ; -   ; 5 ; 251 ; 6 ; -   ; -   ; 3 ; 109 ; -   ; -   ; -   ; -   ; -   ; 5 ; 12 ; 295 ; 321 ; 3 ; -   ; 22 ; -   ; -   ; 3 ; 9 ; 140 ; 3 ; 460 ; 10 ; -   ; 55 ; -   ; 3 ; 131 ; -   ; -   ; 18 ; -   ; 5 ; 23 ; 4 ; -   ; 25 ; 19 ; -   ; 32 ; -   
Algeria;Africa;2018; 918 ; -   ; -   ; 3 ; -   ; 104 ; 13 ; 4 ; -   ; -   ; 39 ; 5 ; -   ; -   ; -   ; 62 ; 15 ; 4 ; 50 ; 9 ; 11 ; -   ; 11 ; 63 ; 16 ; 3 ; -   ; 9 ; -   ; -   ; -   ; -   ; 55 ; -   ; 89 ; 25 ; -   ; 54 ; -   ; 4 ; 120 ; -   ; 3 ; -   ; -   ; 3 ; 67 ; -   ; -   ; 35 ; 9 ; -   ; 14 ; -   
American Samoa;Oceania;2018; 182 ; -   ; 29 ; -   ; -   ; 34 ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 11 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; 6 ; -   ; -   ; -   ; 7 ; -   ; -   ; 8 ; 12 ; -   ; -   ; 39 ; -   ; -   ; -   
Antigua and Barbuda;North America;2018; 356 ; -   ; -   ; 3 ; -   ; 5 ; -   ; 6 ; -   ; -   ; 74 ; 17 ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; 18 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19 ; -   ; 127 ; 3 ; -   ; 4 ; -   ; -   ; 6 ; -   ; 3 ; -   ; -   ; -   ; 7 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   
Angola;Africa;2018; 147 ; -   ; -   ; -   ; -   ; 5 ; -   ; 3 ; -   ; -   ; 13 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 3 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 13 ; -   ; 17 ; 8 ; -   ; -   ; -   ; -   ; 3 ; -   ; 7 ; -   ; -   ; -   ; 14 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   
Argentina;South America;2018; 3.977 ; 8 ; 6 ; 30 ; 16 ; 515 ; 41 ; 70 ; -   ; 12 ; 1.459 ; 83 ; -   ; 6 ; 9 ; 65 ; 21 ; 11 ; 13 ; 20 ; 13 ; 4 ; 45 ; 72 ; 35 ; 24 ; 4 ; 31 ; -   ; -   ; 35 ; -   ; 224 ; 13 ; 331 ; 60 ; -   ; 23 ; 13 ; 26 ; 61 ; 28 ; 5 ; 28 ; -   ; 27 ; 245 ; 57 ; -   ; 100 ; 44 ; -   ; 14 ; -   
Armenia;Asia;2018; 2.085 ; -   ; -   ; 4 ; -   ; 1.625 ; 8 ; 4 ; -   ; -   ; 23 ; 5 ; -   ; -   ; 3 ; 10 ; 3 ; -   ; -   ; -   ; -   ; -   ; 10 ; 55 ; 8 ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; 33 ; -   ; 107 ; 5 ; -   ; 18 ; -   ; -   ; 16 ; -   ; 3 ; 7 ; -   ; -   ; 13 ; 8 ; -   ; 12 ; 20 ; -   ; -   ; -   
Australia;Oceania;2018; 1.545 ; 4 ; 7 ; 25 ; -   ; 351 ; 58 ; 23 ; 3 ; 10 ; 111 ; 29 ; -   ; 18 ; 11 ; 48 ; 12 ; 4 ; 14 ; 8 ; 4 ; 3 ; 13 ; 53 ; 26 ; 15 ; 3 ; 15 ; 4 ; 4 ; 21 ; 7 ; 43 ; 10 ; 161 ; 39 ; -   ; 22 ; 8 ; 38 ; 37 ; -   ; 6 ; 12 ; -   ; 15 ; 88 ; 18 ; 4 ; 33 ; 65 ; -   ; 13 ; 3 
Austria;Europe;2018; 238 ; -   ; -   ; 7 ; -   ; 52 ; 4 ; 3 ; -   ; -   ; 28 ; 4 ; -   ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 9 ; 7 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; 9 ; -   ; 29 ; 3 ; -   ; 3 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 11 ; 8 ; -   ; 4 ; -   
Azerbaijan;Asia;2018; 512 ; -   ; -   ; 4 ; -   ; 130 ; 4 ; 5 ; -   ; -   ; 27 ; 5 ; -   ; -   ; -   ; 17 ; -   ; -   ; 3 ; 7 ; -   ; 3 ; 5 ; 26 ; 8 ; 8 ; -   ; 4 ; -   ; -   ; 4 ; -   ; 15 ; 3 ; 92 ; 17 ; -   ; 14 ; -   ; 5 ; 21 ; -   ; -   ; -   ; -   ; -   ; 26 ; 3 ; -   ; 18 ; 18 ; -   ; -   ; -   
Bahamas;North America;2018; 590 ; 7 ; -   ; -   ; -   ; 7 ; 3 ; 5 ; -   ; -   ; 364 ; 39 ; -   ; -   ; -   ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; 9 ; 8 ; 6 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; 7 ; -   ; 24 ; 20 ; -   ; 3 ; 3 ; -   ; 9 ; -   ; -   ; 6 ; -   ; 6 ; 22 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   
Bahrain;Asia;2018; 86 ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 9 ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 6 ; -   ; 7 ; 3 ; -   ; -   ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Bangladesh;Asia;2018; 7.797 ; 17 ; -   ; 24 ; 9 ; 400 ; 10 ; 128 ; 21 ; 15 ; 362 ; 167 ; -   ; 4 ; -   ; 79 ; 21 ; 11 ; 26 ; 9 ; 15 ; -   ; 129 ; 174 ; 620 ; 33 ; -   ; 21 ; -   ; 5 ; 16 ; 9 ; 491 ; 8 ; 3.735 ; 42 ; -   ; 59 ; 40 ; 17 ; 275 ; -   ; 7 ; 12 ; 7 ; 26 ; 335 ; -   ; -   ; 302 ; 27 ; 4 ; 5 ; -   
Barbados;North America;2018; 555 ; -   ; -   ; 3 ; -   ; 10 ; 4 ; 7 ; -   ; -   ; 97 ; 12 ; -   ; -   ; -   ; 4 ; 6 ; -   ; -   ; 9 ; -   ; -   ; 10 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; 218 ; 8 ; -   ; 8 ; -   ; -   ; 24 ; -   ; -   ; 3 ; -   ; -   ; 20 ; -   ; -   ; 7 ; -   ; -   ; -   ; -   
Belarus;Europe;2018; 1.393 ; 4 ; -   ; 7 ; 3 ; 220 ; 24 ; 31 ; 5 ; -   ; 126 ; 15 ; -   ; -   ; 3 ; 81 ; 7 ; -   ; 3 ; -   ; -   ; -   ; 22 ; 87 ; 14 ; 31 ; -   ; 12 ; 4 ; 5 ; 7 ; -   ; 109 ; 4 ; 221 ; 20 ; 3 ; 26 ; 4 ; 24 ; 100 ; -   ; -   ; 18 ; -   ; -   ; 24 ; 3 ; 3 ; 30 ; 49 ; -   ; 14 ; -   
Belgium;Europe;2018; 520 ; -   ; -   ; 7 ; -   ; 110 ; 15 ; 10 ; -   ; -   ; 59 ; 14 ; -   ; -   ; -   ; 8 ; 3 ; 3 ; -   ; 6 ; 4 ; -   ; 5 ; 24 ; 5 ; 4 ; -   ; -   ; -   ; -   ; 5 ; 3 ; 19 ; 9 ; 47 ; 10 ; -   ; 12 ; 3 ; 11 ; 14 ; -   ; 4 ; 9 ; 3 ; 4 ; 30 ; -   ; -   ; 16 ; 11 ; -   ; 6 ; -   
Belize;North America;2018; 859 ; 8 ; -   ; 5 ; 3 ; 320 ; 5 ; 5 ; -   ; -   ; 75 ; 15 ; -   ; -   ; -   ; 88 ; 6 ; -   ; -   ; 6 ; 8 ; -   ; 3 ; 9 ; -   ; 3 ; 5 ; 6 ; -   ; -   ; 12 ; -   ; 24 ; -   ; 91 ; 14 ; -   ; 5 ; 6 ; -   ; 16 ; -   ; -   ; 5 ; -   ; 7 ; 65 ; -   ; -   ; 9 ; 6 ; -   ; 5 ; -   
Benin;Africa;2018; 249 ; -   ; -   ; 3 ; -   ; 5 ; 7 ; 5 ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; 29 ; 15 ; 7 ; -   ; -   ; -   ; -   ; 17 ; 5 ; 3 ; 8 ; -   ; 4 ; -   ; 12 ; -   ; -   ; 6 ; -   ; 35 ; 8 ; -   ; 13 ; -   ; -   ; 12 ; -   ; -   ; 3 ; -   ; -   ; 16 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   
Bhutan;Asia;2018; 6.180 ; -   ; 8 ; 44 ; -   ; 29 ; 83 ; -   ; -   ; -   ; 13 ; 185 ; -   ; -   ; 53 ; 55 ; -   ; 116 ; 69 ; 259 ; -   ; -   ; 64 ; 219 ; 113 ; 36 ; -   ; 66 ; -   ; 59 ; 20 ; 120 ; -   ; -   ; 425 ; 162 ; 49 ; 1.992 ; -   ; 57 ; 1.036 ; -   ; 3 ; -   ; 75 ; 68 ; 187 ; 45 ; 185 ; 141 ; 66 ; -   ; 25 ; -   
Bolivia;South America;2018; 1.575 ; 4 ; 3 ; 8 ; 7 ; 139 ; 7 ; 12 ; 3 ; 5 ; 295 ; 20 ; -   ; -   ; -   ; 18 ; -   ; -   ; 4 ; 7 ; 6 ; -   ; 88 ; 30 ; 3 ; 7 ; -   ; 11 ; -   ; -   ; 6 ; 4 ; 63 ; 6 ; 104 ; 14 ; -   ; 6 ; 8 ; 8 ; 16 ; -   ; 38 ; 10 ; -   ; 7 ; 79 ; 11 ; -   ; 472 ; 9 ; 4 ; 9 ; -   
Bosnia and Herzegovina;Europe;2018; 1.805 ; 3 ; -   ; 46 ; -   ; 58 ; 15 ; 84 ; -   ; 3 ; 183 ; 92 ; -   ; -   ; 39 ; 124 ; 37 ; 115 ; -   ; 65 ; -   ; 3 ; 3 ; 18 ; 139 ; 27 ; -   ; 203 ; -   ; 5 ; 15 ; 23 ; 28 ; -   ; 119 ; 18 ; 7 ; 42 ; -   ; 12 ; 56 ; -   ; -   ; 3 ; 5 ; 20 ; 69 ; 15 ; 7 ; 28 ; 27 ; -   ; 24 ; -   
Brazil;South America;2018; 10.538 ; 41 ; 11 ; 76 ; 12 ; 1.061 ; 82 ; 441 ; 14 ; 17 ; 2.707 ; 355 ; -   ; 41 ; 17 ; 138 ; 48 ; 30 ; 35 ; 28 ; 48 ; 11 ; 113 ; 1.576 ; 98 ; 43 ; 13 ; 50 ; 10 ; 17 ; 64 ; 82 ; 777 ; 18 ; 699 ; 156 ; 5 ; 104 ; 21 ; 53 ; 188 ; 8 ; 43 ; 107 ; -   ; 56 ; 479 ; 118 ; 6 ; 197 ; 107 ; 6 ; 39 ; -   
Bulgaria;Europe;2018; 1.825 ; 4 ; 4 ; 20 ; -   ; 212 ; 40 ; 27 ; 4 ; 13 ; 219 ; 51 ; -   ; 3 ; 3 ; 294 ; 6 ; 7 ; 3 ; 7 ; 4 ; 11 ; 18 ; 150 ; 33 ; 25 ; 3 ; 16 ; -   ; -   ; 51 ; 10 ; 89 ; -   ; 140 ; 31 ; -   ; 24 ; 6 ; 7 ; 56 ; -   ; 3 ; 11 ; -   ; 8 ; 54 ; 4 ; -   ; 62 ; 41 ; -   ; 24 ; 3 
Burkina Faso;Africa;2018; 347 ; -   ; -   ; 3 ; -   ; 7 ; 8 ; -   ; -   ; 4 ; 5 ; 15 ; -   ; -   ; -   ; 7 ; 4 ; -   ; -   ; -   ; -   ; -   ; 16 ; 5 ; 4 ; 3 ; -   ; 6 ; -   ; 11 ; -   ; -   ; 34 ; -   ; 86 ; 5 ; -   ; 20 ; -   ; -   ; 18 ; -   ; -   ; -   ; -   ; -   ; 37 ; 3 ; -   ; 7 ; 8 ; -   ; 10 ; -   
Burma;Africa;2018; 7.858 ; 4 ; -   ; 98 ; 16 ; 452 ; 81 ; 20 ; 4 ; -   ; 288 ; 226 ; -   ; 7 ; 53 ; 213 ; 1.308 ; 287 ; 150 ; 244 ; 17 ; -   ; 151 ; 68 ; 250 ; 528 ; 5 ; 134 ; -   ; 359 ; 8 ; 6 ; 26 ; 10 ; 599 ; 395 ; -   ; 191 ; 244 ; 126 ; 134 ; -   ; 4 ; 52 ; 60 ; 96 ; 466 ; 62 ; 16 ; 51 ; 97 ; 5 ; 164 ; 3 
Burundi;Africa;2018; 284 ; -   ; -   ; 18 ; -   ; 7 ; 6 ; 3 ; -   ; -   ; 4 ; -   ; -   ; -   ; 8 ; 14 ; -   ; 25 ; -   ; 17 ; -   ; 11 ; 5 ; 7 ; 3 ; 6 ; -   ; 4 ; -   ; -   ; -   ; 6 ; -   ; -   ; 19 ; 7 ; -   ; 9 ; -   ; 3 ; 4 ; -   ; -   ; 3 ; 3 ; 12 ; 46 ; 6 ; 3 ; 6 ; 5 ; -   ; -   ; -   
Cabo Verde;Africa;2018; 1.429 ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; 28 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 998 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; -   ; 13 ; -   ; -   ; -   ; -   ; -   ; 11 ; -   ; 308 ; -   ; -   ; -   ; 4 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   
Cambodia;Asia;2018; 2.467 ; 8 ; -   ; 25 ; 14 ; 726 ; 13 ; 32 ; -   ; -   ; 79 ; 59 ; -   ; 3 ; 5 ; 28 ; 17 ; 13 ; 13 ; 36 ; 16 ; 16 ; 15 ; 313 ; 15 ; 91 ; 11 ; 25 ; -   ; 3 ; 6 ; 12 ; 12 ; 5 ; 37 ; 39 ; -   ; 52 ; 15 ; 26 ; 172 ; -   ; 57 ; 21 ; -   ; 20 ; 143 ; 18 ; -   ; 47 ; 164 ; -   ; 20 ; -   
Cameroon;Africa;2018; 2.319 ; 10 ; 4 ; 25 ; 9 ; 103 ; 13 ; 13 ; 23 ; 66 ; 59 ; 85 ; -   ; 5 ; -   ; 71 ; 17 ; 20 ; 8 ; 21 ; 18 ; 4 ; 557 ; 97 ; 31 ; 89 ; 4 ; 17 ; -   ; 16 ; 9 ; -   ; 44 ; 11 ; 80 ; 53 ; 7 ; 120 ; 57 ; 9 ; 64 ; -   ; -   ; 23 ; 3 ; 12 ; 270 ; -   ; 3 ; 105 ; 10 ; 9 ; 21 ; -   
Canada;North America;2018; 9.379 ; 39 ; 39 ; 268 ; 30 ; 1.496 ; 202 ; 168 ; 15 ; 28 ; 1.119 ; 175 ; -   ; 40 ; 73 ; 206 ; 86 ; 34 ; 50 ; 58 ; 34 ; 68 ; 71 ; 386 ; 458 ; 100 ; 21 ; 78 ; 41 ; 25 ; 107 ; 83 ; 261 ; 27 ; 610 ; 293 ; 13 ; 231 ; 51 ; 180 ; 234 ; 5 ; 15 ; 118 ; 4 ; 108 ; 581 ; 78 ; 44 ; 196 ; 505 ; 13 ; 83 ; 12 
Central African Republic;Africa;2018; 73 ; -   ; -   ; 5 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 3 ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; 6 ; -   ; 4 ; -   ; -   ; -   ; -   
Colombia;South America;2018; 17.564 ; 43 ; 13 ; 63 ; 14 ; 891 ; 87 ; 345 ; 20 ; 31 ; 6.842 ; 501 ; -   ; 8 ; 20 ; 252 ; 57 ; 23 ; 44 ; 40 ; 56 ; 9 ; 152 ; 467 ; 62 ; 54 ; 15 ; 60 ; 4 ; 26 ; 73 ; 41 ; 1.911 ; 25 ; 2.365 ; 321 ; -   ; 90 ; 51 ; 40 ; 258 ; 112 ; 136 ; 204 ; 4 ; 72 ; 1.025 ; 57 ; -   ; 272 ; 103 ; 8 ; 39 ; -   
Congo, Democratic Republic;Africa;2018; 1.776 ; 8 ; -   ; 35 ; -   ; 55 ; 42 ; 31 ; -   ; -   ; 31 ; 85 ; -   ; -   ; 45 ; 116 ; 30 ; 97 ; 9 ; 113 ; 4 ; 28 ; 71 ; 57 ; 48 ; 14 ; -   ; 36 ; -   ; 15 ; 6 ; 22 ; 6 ; -   ; 89 ; 139 ; 14 ; 90 ; 8 ; 22 ; 35 ; -   ; 4 ; 3 ; 5 ; 25 ; 195 ; 14 ; 15 ; 46 ; 34 ; -   ; 10 ; -   
Congo, Republic;Africa;2018; 316 ; 3 ; -   ; 14 ; -   ; 12 ; 10 ; 6 ; -   ; -   ; 4 ; 14 ; -   ; -   ; 5 ; 22 ; -   ; 8 ; 5 ; 4 ; -   ; 3 ; 8 ; 12 ; 6 ; 4 ; -   ; 3 ; -   ; 6 ; 5 ; -   ; 5 ; 3 ; 28 ; 25 ; 6 ; 18 ; -   ; 4 ; 9 ; -   ; -   ; -   ; -   ; 6 ; 25 ; 3 ; 3 ; 4 ; 6 ; -   ; -   ; -   
Costa Rica;North America;2018; 1.860 ; 8 ; -   ; 13 ; 6 ; 181 ; 13 ; 23 ; 4 ; 4 ; 403 ; 53 ; -   ; 3 ; -   ; 23 ; 17 ; -   ; 3 ; 9 ; 14 ; -   ; 23 ; 30 ; 20 ; 12 ; 5 ; 5 ; 3 ; 3 ; 19 ; 6 ; 382 ; 5 ; 148 ; 85 ; -   ; 17 ; 4 ; 21 ; 38 ; 9 ; 3 ; 30 ; -   ; 19 ; 94 ; 7 ; -   ; 26 ; 27 ; -   ; 11 ; -   
Cote d'Ivoire;Africa;2018; 908 ; -   ; -   ; 9 ; -   ; 38 ; 13 ; 18 ; 10 ; 8 ; 19 ; 49 ; -   ; -   ; 3 ; 22 ; 11 ; 10 ; 5 ; 12 ; -   ; -   ; 69 ; 29 ; 7 ; 11 ; -   ; 8 ; -   ; 7 ; -   ; 4 ; 45 ; -   ; 210 ; 33 ; 5 ; 36 ; 5 ; -   ; 48 ; -   ; 11 ; 4 ; -   ; 13 ; 64 ; 5 ; -   ; 30 ; 9 ; -   ; 6 ; -   
